p,df,pattern,eps,min_var,max_var,q95_profile,q95_chi,q95_gap_chi_minus_profile,profile_tail_at_chi_q95,chi_tail_at_profile_q95,tail_gap_at_chi_q95,trace,trace_over_df,lambda_min,lambda_max,lambda_sd,imag_max
6,14,spike_lo,0.85,0.15000000000000002,1.17,9.831136947240086,23.68479130484058,13.853654357600494,6.262519043939128e-07,0.77442211970893,-0.049999373748095606,5.783300788517991,0.4130929134655708,0.3735392988723776,0.5052566755897561,0.05868659175955529,0.0
5,9,spike_lo,0.85,0.15000000000000002,1.2125,6.696013852289919,16.91897760462045,10.222963752330532,2.847154829301302e-06,0.6687348173483936,-0.0499971528451707,3.552508482958962,0.394723164773218,0.33974246168554945,0.4244225624105926,0.03908586877819373,0.0
5,9,linear,0.85,0.15000000000000002,1.85,6.436402929566929,16.91897760462045,10.482574675053522,5.568786140436591e-06,0.6955705424377014,-0.04999443121385957,3.3238964488958103,0.36932182765509003,0.17799583416811035,0.56782629998871,0.12495415725936722,0.0
6,14,linear,0.85,0.15000000000000002,1.85,9.78219128175363,23.68479130484058,13.90260002308695,1.2190731851632648e-05,0.7779280829443624,-0.04998780926814837,5.41905984920756,0.38707570351482573,0.07555576744737491,0.8958218465503177,0.21459578511085395,0.0
5,9,alternating,0.85,0.15000000000000002,1.5666666666666669,6.149692291973508,16.91897760462045,10.769285312646943,2.5294518019634724e-05,0.7248480054940883,-0.04997470548198037,2.740817892960616,0.30453532144006845,0.05575028780236229,0.712568206799397,0.28182025235566777,0.0
4,5,linear,0.85,0.15000000000000002,1.85,3.930520378866772,11.070497693516351,7.139977314649579,3.745441606552423e-05,0.5594621425148631,-0.04996254558393448,1.7217945040711384,0.3443589008142277,0.19896450120519432,0.540117513510812,0.11440158130719554,0.0
4,5,spike_lo,0.85,0.15000000000000002,1.2833333333333332,4.216146336379113,11.070497693516351,6.854351357137238,6.0288878423473124e-05,0.518734393891248,-0.04993971112157653,1.829890980103043,0.3659781960206086,0.20171333756124646,0.4853835750579227,0.13455903396762808,0.0
4,5,alternating,0.85,0.15000000000000002,1.85,3.2500741192479055,11.070497693516351,7.820423574268446,9.28380759754839e-05,0.6614935488932254,-0.04990716192402452,1.1038167730412323,0.22076335460824645,0.025954192345427497,0.6879933193156624,0.2630174625950175,0.0
4,5,half,0.85,0.15000000000000002,1.85,3.2500741192479072,11.070497693516351,7.820423574268444,9.283807597548535e-05,0.661493548893225,-0.049907161924024515,1.1038167730412327,0.22076335460824653,0.02595419234542759,0.6879933193156624,0.2630174625950175,4.530896161655093e-19
4,5,alternating,0.7,0.30000000000000004,1.7,3.874282969740735,11.070497693516351,7.196214723775617,0.0002788014701894716,0.5676545480193151,-0.04972119852981053,1.4686275402586282,0.29372550805172565,0.11715688514207845,0.7736295267876077,0.2554672296660639,0.0
