x,profile,classic,chi,emp_N150,emp_N600,emp_N3000
0,1,1,1,1,1,1
0.0503219183672,0.907268132601,0.975152939575,0.975152939575,0.907916666667,0.908416666667,0.9055
0.100643836734,0.824331760896,0.950923255561,0.950923255561,0.82125,0.824166666667,0.824916666667
0.150965755102,0.750037482059,0.92729560797,0.92729560797,0.746833333333,0.748583333333,0.749333333333
0.201287673469,0.68337887704,0.904255037967,0.904255037967,0.681583333333,0.680833333333,0.68275
0.251609591836,0.623476625503,0.881786958398,0.881786958398,0.621416666667,0.619,0.621333333333
0.301931510203,0.569561678553,0.85987714456,0.85987714456,0.566583333333,0.56275,0.566833333333
0.35225342857,0.520960532511,0.838511725191,0.838511725191,0.51525,0.514666666667,0.515666666667
0.402575346938,0.477082642527,0.817677173688,0.817677173688,0.4715,0.476583333333,0.474416666667
0.452897265305,0.437409558861,0.797360299545,0.797360299545,0.433416666667,0.437166666667,0.436583333333
0.503219183672,0.401485468931,0.777548240001,0.777548240001,0.40075,0.402166666667,0.400333333333
0.553541102039,0.368909180569,0.758228451898,0.758228451898,0.36925,0.36825,0.3705
0.603863020407,0.339327041639,0.739388703737,0.739388703737,0.340833333333,0.339083333333,0.3425
0.654184938774,0.312426897638,0.721017067938,0.721017067938,0.312666666667,0.311666666667,0.315166666667
0.704506857141,0.287932793625,0.703101913283,0.703101913283,0.2885,0.287833333333,0.28875
0.754828775508,0.26560048464,0.685631897558,0.685631897558,0.26525,0.264166666667,0.267
0.805150693875,0.245213443379,0.66859596037,0.66859596037,0.245,0.245166666667,0.245166666667
0.855472612243,0.226579442692,0.651983316143,0.651983316143,0.226,0.22575,0.228166666667
0.90579453061,0.209527577152,0.63578344729,0.63578344729,0.20925,0.2095,0.210166666667
0.956116448977,0.193905680053,0.619986097558,0.619986097558,0.195,0.195,0.194
1.00643836734,0.179578040725,0.604581265529,0.604581265529,0.180583333333,0.180416666667,0.178
1.05676028571,0.166423482547,0.589559198292,0.589559198292,0.168333333333,0.16775,0.164
1.10708220408,0.154333621511,0.574910385268,0.574910385268,0.157333333333,0.155416666667,0.15325
1.15740412245,0.143211377471,0.560625552186,0.560625552186,0.145166666667,0.143416666667,0.141916666667
1.20772604081,0.132969671409,0.546695655214,0.546695655214,0.13575,0.133416666667,0.132416666667
1.25804795918,0.123530262912,0.533111875235,0.533111875235,0.125,0.1245,0.123
1.30836987755,0.114822775936,0.519865612258,0.519865612258,0.1185,0.115,0.115166666667
1.35869179591,0.106783801392,0.506948479977,0.506948479977,0.10975,0.106333333333,0.107083333333
1.40901371428,0.0993561301181,0.494352300462,0.494352300462,0.100916666667,0.0991666666667,0.0996666666667
1.45933563265,0.0924880744924,0.482069098981,0.482069098981,0.09275,0.092,0.0924166666667
1.50965755102,0.0861328743679,0.470091098949,0.470091098949,0.0855833333333,0.0856666666667,0.0869166666667
1.55997946938,0.0802481585864,0.458410717008,0.458410717008,0.0795,0.0790833333333,0.0808333333333
1.61030138775,0.0747954989329,0.447020558223,0.447020558223,0.0735833333333,0.0735833333333,0.07525
1.66062330612,0.0697399875678,0.435913411402,0.435913411402,0.06875,0.0690833333333,0.071
1.71094522449,0.0650498770345,0.425082244528,0.425082244528,0.06375,0.064,0.0669166666667
1.76126714285,0.0606962586159,0.414520200313,0.414520200313,0.0585833333333,0.0594166666667,0.0626666666667
1.81158906122,0.0566527790076,0.404220591848,0.404220591848,0.055,0.055,0.058
1.86191097959,0.0528953787779,0.394176898377,0.394176898377,0.0511666666667,0.05125,0.0545833333333
1.91223289795,0.0494020789671,0.384382761165,0.384382761165,0.0470833333333,0.0474166666667,0.05025
1.96255481632,0.0461527721702,0.374831979472,0.374831979472,0.0451666666667,0.045,0.04625
2.01287673469,0.0431290453835,0.365518506628,0.365518506628,0.04225,0.04275,0.04375
2.06319865306,0.040314019965,0.356436446207,0.356436446207,0.0393333333333,0.04,0.041
2.11352057142,0.0376922098128,0.347580048291,0.347580048291,0.0375,0.0375833333333,0.03875
2.16384248979,0.0352493878386,0.338943705828,0.338943705828,0.0345833333333,0.0358333333333,0.03625
2.21416440816,0.0329724789312,0.330521951089,0.330521951089,0.03275,0.0336666666667,0.03375
2.26448632652,0.0308494513629,0.322309452198,0.322309452198,0.0303333333333,0.0320833333333,0.0309166666667
2.31480824489,0.0288692252298,0.314301009764,0.314301009764,0.02825,0.0299166666667,0.0294166666667
2.36513016326,0.0270215888032,0.306491553582,0.306491553582,0.0263333333333,0.0276666666667,0.02725
2.41545208163,0.0252971239782,0.29887613943,0.29887613943,0.0251666666667,0.0260833333333,0.0249166666667
2.46577399999,0.0236871346729,0.291449945934,0.291449945934,0.0239166666667,0.0244166666667,0.02375
2.51609591836,0.0221835905111,0.284208271517,0.284208271517,0.0226666666667,0.0231666666667,0.0211666666667
2.56641783673,0.0207790675958,0.277146531421,0.277146531421,0.0214166666667,0.0213333333333,0.0198333333333
2.6167397551,0.0194666988784,0.270260254808,0.270260254808,0.01975,0.0199166666667,0.0185833333333
2.66706167346,0.0182401283317,0.263545081926,0.263545081926,0.0184166666667,0.019,0.01775
2.71738359183,0.0170934693183,0.256996761351,0.256996761351,0.0169166666667,0.0183333333333,0.017
2.7677055102,0.0160212673036,0.250611147292,0.250611147292,0.0159166666667,0.0173333333333,0.0159166666667
2.81802742856,0.0150184630729,0.244384196972,0.244384196972,0.0153333333333,0.01625,0.015
2.86834934693,0.0140803647665,0.238311968063,0.238311968063,0.0144166666667,0.015,0.0143333333333
2.9186712653,0.0132026168971,0.232390616192,0.232390616192,0.0136666666667,0.0143333333333,0.0135833333333
2.96899318367,0.0123811747337,0.22661639251,0.22661639251,0.0125,0.0131666666667,0.01275
3.01931510203,0.0116122803509,0.220985641311,0.220985641311,0.0123333333333,0.012,0.0124166666667
3.0696370204,0.0108924410888,0.215494797729,0.215494797729,0.01175,0.0115833333333,0.0111666666667
3.11995893877,0.01021840795,0.210140385468,0.210140385468,0.01075,0.01075,0.0106666666667
3.17028085713,0.00958715946697,0.204919014613,0.204919014613,0.0100833333333,0.00991666666667,0.0101666666667
3.2206027755,0.00899588327997,0.199827379474,0.199827379474,0.0095,0.00941666666667,0.00958333333333
3.27092469387,0.00844196099372,0.194862256502,0.194862256502,0.00916666666667,0.00891666666667,0.00883333333333
3.32124661224,0.00792295390528,0.19002050224,0.19002050224,0.00883333333333,0.0085,0.00791666666667
3.3715685306,0.0074365898731,0.185299051339,0.185299051339,0.00841666666667,0.00825,0.0075
3.42189044897,0.00698075147709,0.180694914613,0.180694914613,0.008,0.00775,0.00675
3.47221236734,0.00655346387413,0.176205177151,0.176205177151,0.00741666666667,0.00741666666667,0.00641666666667
3.5225342857,0.00615288602957,0.171826996467,0.171826996467,0.00691666666667,0.00716666666667,0.00608333333333
3.57285620407,0.00577730023381,0.167557600703,0.167557600703,0.00666666666667,0.00641666666667,0.00558333333333
3.62317812244,0.00542510359957,0.163394286874,0.163394286874,0.00633333333333,0.00591666666667,0.00541666666667
3.67350004081,0.00509479997379,0.159334419155,0.159334419155,0.00608333333333,0.0055,0.00516666666667
3.72382195917,0.00478499262538,0.155375427214,0.155375427214,0.00558333333333,0.00541666666667,0.00491666666667
3.77414387754,0.00449437666575,0.151514804586,0.151514804586,0.00516666666667,0.00516666666667,0.00458333333333
3.82446579591,0.00422173363866,0.147750107081,0.147750107081,0.00491666666667,0.00483333333333,0.00458333333333
3.87478771428,0.00396592492834,0.144078951242,0.144078951242,0.00466666666667,0.00441666666667,0.004
3.92510963264,0.00372588643017,0.140499012835,0.140499012835,0.00441666666667,0.00416666666667,0.00391666666667
3.97543155101,0.0035006234565,0.137008025373,0.137008025373,0.00416666666667,0.00391666666667,0.00383333333333
4.02575346938,0.00328920601164,0.133603778688,0.133603778688,0.00391666666667,0.00383333333333,0.00358333333333
4.07607538774,0.00309076451636,0.130284117526,0.130284117526,0.00358333333333,0.00366666666667,0.0035
4.12639730611,0.00290448530036,0.127046940185,0.127046940185,0.003,0.00341666666667,0.00325
4.17671922448,0.00272960747652,0.123890197185,0.123890197185,0.00283333333333,0.00308333333333,0.003
4.22704114285,0.00256541899099,0.12081188997,0.12081188997,0.00283333333333,0.003,0.00283333333333
4.27736306121,0.00241125346667,0.11781006964,0.11781006964,0.00258333333333,0.00291666666667,0.00275
4.32768497958,0.00226648716636,0.114882835721,0.114882835721,0.00233333333333,0.00275,0.00258333333333
4.37800689795,0.00213053616763,0.11202833496,0.11202833496,0.00225,0.00266666666667,0.00233333333333
4.42832881631,0.00200285380591,0.109244760151,0.109244760151,0.00191666666667,0.00258333333333,0.00225
4.47865073468,0.00188292793874,0.106530348995,0.106530348995,0.00191666666667,0.00241666666667,0.00216666666667
4.52897265305,0.00177027909902,0.103883382976,0.103883382976,0.00166666666667,0.00225,0.00216666666667
4.57929457142,0.00166445808367,0.101302186282,0.101302186282,0.00158333333333,0.00216666666667,0.002
4.62961648978,0.00156504404728,0.0987851247384,0.0987851247384,0.0015,0.00216666666667,0.00183333333333
