x,profile,classic,chi,emp_N150,emp_N600,emp_N3000
0,1,1,1,1,1,1
0.0795414905817,0.999875483308,0.99990774043,0.99990774043,0.999916666667,1,0.99975
0.159082981163,0.999319279894,0.999492663539,0.999492663539,0.999166666667,0.999833333333,0.999416666667
0.238624471745,0.998186169137,0.998640856166,0.998640856166,0.9985,0.998833333333,0.997583333333
0.318165962327,0.996398971983,0.997287403564,0.997287403564,0.996666666667,0.996583333333,0.996
0.397707452908,0.993915112953,0.995392502946,0.995392502946,0.993333333333,0.994416666667,0.993666666667
0.47724894349,0.990714152645,0.992932673771,0.992932673771,0.989333333333,0.99125,0.990666666667
0.556790434072,0.986791050023,0.98989604576,0.98989604576,0.984583333333,0.987083333333,0.987833333333
0.636331924653,0.982151925258,0.98627940376,0.98627940376,0.980166666667,0.981666666667,0.982916666667
0.715873415235,0.976811156599,0.982086159091,0.982086159091,0.974666666667,0.976916666667,0.977416666667
0.795414905817,0.970789280364,0.977324873186,0.977324873186,0.967916666667,0.970083333333,0.971333333333
0.874956396398,0.964111415459,0.972008139114,0.972008139114,0.959833333333,0.962833333333,0.964
0.95449788698,0.956806050988,0.966151709478,0.966151709478,0.953666666667,0.953583333333,0.9555
1.03403937756,0.948904096352,0.959773801855,0.959773801855,0.944666666667,0.943916666667,0.947166666667
1.11358086814,0.940438127489,0.952894536818,0.952894536818,0.936,0.93575,0.936666666667
1.19312235872,0.931441783479,0.945535477783,0.945535477783,0.925083333333,0.926666666667,0.927833333333
1.27266384931,0.921949280814,0.937719250855,0.937719250855,0.91425,0.917083333333,0.916916666667
1.35220533989,0.911995021221,0.929469228709,0.929469228709,0.904833333333,0.909166666667,0.909083333333
1.43174683047,0.901613274843,0.920809266483,0.920809266483,0.894916666667,0.8985,0.897666666667
1.51128832105,0.890837924761,0.911763480495,0.911763480495,0.88325,0.887333333333,0.886333333333
1.59082981163,0.879702261862,0.90235606254,0.90235606254,0.8715,0.87475,0.876166666667
1.67037130221,0.868238821296,0.892611124053,0.892611124053,0.857833333333,0.864083333333,0.866333333333
1.7499127928,0.856479253486,0.882552565483,0.882552565483,0.843916666667,0.852916666667,0.85425
1.82945428338,0.844454223924,0.872203967113,0.872203967113,0.830583333333,0.842083333333,0.843
1.90899577396,0.832193337062,0.861588498187,0.861588498187,0.818166666667,0.83,0.830833333333
