x,profile,classic,chi,emp_N150,emp_N600,emp_N3000
0,1,1,1,1,1,1
0.0503219183672,0.909997261272,0.975152939575,0.975152939575,0.905666666667,0.913833333333,0.911083333333
0.100643836734,0.828485338531,0.950923255561,0.950923255561,0.824,0.8335,0.829
0.150965755102,0.75462718993,0.92729560797,0.92729560797,0.751666666667,0.755666666667,0.7545
0.201287673469,0.687671583996,0.904255037967,0.904255037967,0.685166666667,0.685333333333,0.687416666667
0.251609591836,0.626943998519,0.881786958398,0.881786958398,0.62625,0.62325,0.626166666667
0.301931510203,0.571838396717,0.85987714456,0.85987714456,0.573583333333,0.56975,0.570666666667
0.35225342857,0.521810222674,0.838511725191,0.838511725191,0.522833333333,0.517833333333,0.519333333333
0.402575346938,0.476369831925,0.817677173688,0.817677173688,0.47875,0.472583333333,0.471166666667
0.452897265305,0.43507678675,0.797360299545,0.797360299545,0.438166666667,0.431666666667,0.429166666667
0.503219183672,0.397534733716,0.777548240001,0.777548240001,0.40175,0.393666666667,0.3925
0.553541102039,0.363386830063,0.758228451898,0.758228451898,0.36725,0.36025,0.358666666667
0.603863020407,0.332311658782,0.739388703737,0.739388703737,0.335333333333,0.33,0.32625
0.654184938774,0.304019578931,0.721017067938,0.721017067938,0.304333333333,0.302083333333,0.29825
0.704506857141,0.27824947969,0.703101913283,0.703101913283,0.27775,0.277666666667,0.27275
0.754828775508,0.254765799844,0.685631897558,0.685631897558,0.255083333333,0.255333333333,0.249916666667
0.805150693875,0.23335601544,0.66859596037,0.66859596037,0.23375,0.233416666667,0.2305
0.855472612243,0.213828241862,0.651983316143,0.651983316143,0.211333333333,0.2135,0.213083333333
0.90579453061,0.196009160931,0.63578344729,0.63578344729,0.196,0.195083333333,0.19375
0.956116448977,0.179742150512,0.619986097558,0.619986097558,0.18125,0.178916666667,0.177916666667
1.00643836734,0.164885609132,0.604581265529,0.604581265529,0.1665,0.164916666667,0.163083333333
1.05676028571,0.151311454727,0.589559198292,0.589559198292,0.151166666667,0.1525,0.151333333333
1.10708220408,0.138903786327,0.574910385268,0.574910385268,0.136833333333,0.139916666667,0.139333333333
1.15740412245,0.127557647289,0.560625552186,0.560625552186,0.12525,0.127583333333,0.129833333333
1.20772604081,0.117177987395,0.546695655214,0.546695655214,0.116166666667,0.115833333333,0.118666666667
1.25804795918,0.107678661174,0.533111875235,0.533111875235,0.106166666667,0.106416666667,0.107416666667
1.30836987755,0.0989815628279,0.519865612258,0.519865612258,0.0986666666667,0.0991666666667,0.09825
1.35869179591,0.091015842458,0.506948479977,0.506948479977,0.0903333333333,0.0900833333333,0.0890833333333
1.40901371428,0.0837172017316,0.494352300462,0.494352300462,0.0834166666667,0.08425,0.0826666666667
1.45933563265,0.0770272606716,0.482069098981,0.482069098981,0.0768333333333,0.0774166666667,0.0756666666667
1.50965755102,0.0708929881382,0.470091098949,0.470091098949,0.07,0.0706666666667,0.0704166666667
1.55997946938,0.0652661928675,0.458410717008,0.458410717008,0.06425,0.0655,0.0640833333333
1.61030138775,0.0601030481951,0.447020558223,0.447020558223,0.0591666666667,0.06025,0.05925
1.66062330612,0.0553636975516,0.435913411402,0.435913411402,0.0545833333333,0.05575,0.0544166666667
1.71094522449,0.0510118661734,0.425082244528,0.425082244528,0.0508333333333,0.0511666666667,0.0491666666667
1.76126714285,0.0470145271795,0.414520200313,0.414520200313,0.047,0.0475,0.0455833333333
1.81158906122,0.0433415972876,0.404220591848,0.404220591848,0.0431666666667,0.0440833333333,0.042
1.86191097959,0.0399656622837,0.394176898377,0.394176898377,0.0394166666667,0.0396666666667,0.0391666666667
1.91223289795,0.0368617292235,0.384382761165,0.384382761165,0.0360833333333,0.0358333333333,0.0363333333333
1.96255481632,0.0340070026598,0.374831979472,0.374831979472,0.0335,0.03275,0.03325
2.01287673469,0.0313806824734,0.365518506628,0.365518506628,0.03075,0.03025,0.03025
2.06319865306,0.0289637827708,0.356436446207,0.356436446207,0.0288333333333,0.02675,0.02775
2.11352057142,0.0267389601093,0.347580048291,0.347580048291,0.0271666666667,0.0251666666667,0.0248333333333
2.16384248979,0.0246903737928,0.338943705828,0.338943705828,0.0256666666667,0.0229166666667,0.0233333333333
2.21416440816,0.0228035440271,0.330521951089,0.330521951089,0.0235833333333,0.0211666666667,0.0210833333333
2.26448632652,0.0210652310185,0.322309452198,0.322309452198,0.0221666666667,0.02,0.0195833333333
2.31480824489,0.0194633239628,0.314301009764,0.314301009764,0.0206666666667,0.01875,0.01825
2.36513016326,0.0179867404269,0.306491553582,0.306491553582,0.0191666666667,0.0170833333333,0.01675
2.41545208163,0.0166253351085,0.29887613943,0.29887613943,0.0183333333333,0.0159166666667,0.0158333333333
2.46577399999,0.0153698170608,0.291449945934,0.291449945934,0.0170833333333,0.0151666666667,0.0151666666667
2.51609591836,0.0142116753277,0.284208271517,0.284208271517,0.01625,0.0140833333333,0.0145
2.56641783673,0.0131431076679,0.277146531421,0.277146531421,0.0149166666667,0.0129166666667,0.0130833333333
2.6167397551,0.0121569631623,0.270260254808,0.270260254808,0.0145,0.0119166666667,0.01175
2.66706167346,0.0112466828318,0.263545081926,0.263545081926,0.0136666666667,0.0106666666667,0.0108333333333
2.71738359183,0.0104062491831,0.256996761351,0.256996761351,0.013,0.00958333333333,0.0101666666667
2.7677055102,0.00963013961816,0.250611147292,0.250611147292,0.0125,0.00883333333333,0.00933333333333
2.81802742856,0.00891328403176,0.244384196972,0.244384196972,0.0115833333333,0.008,0.00858333333333
2.86834934693,0.00825102620523,0.238311968063,0.238311968063,0.0111666666667,0.00741666666667,0.00816666666667
2.9186712653,0.00763908864062,0.232390616192,0.232390616192,0.0106666666667,0.00675,0.0075
2.96899318367,0.0070735405149,0.22661639251,0.22661639251,0.0100833333333,0.00616666666667,0.00716666666667
3.01931510203,0.0065507688227,0.220985641311,0.220985641311,0.00925,0.0055,0.00658333333333
3.0696370204,0.00606745030003,0.215494797729,0.215494797729,0.00866666666667,0.00475,0.00575
3.11995893877,0.00562052925806,0.210140385468,0.210140385468,0.00833333333333,0.00433333333333,0.005
3.17028085713,0.0052071939599,0.204919014613,0.204919014613,0.00775,0.00425,0.00475
3.2206027755,0.00482485671243,0.199827379474,0.199827379474,0.00766666666667,0.00383333333333,0.00425
