p,loading,delta,min_eigen,cor_min,cor_max,df_A,df_B,df_diff,f_A,f_B,f_diff_B_minus_A,score_diff_norm,loading_sd_A,residual_sd_A,rmsea_A,rmsea_B,srmr_A,srmr_B,lambda_count,lambda_max,lambda_trace,q95_profile,q95_chi,profile_tail_at_chi_q95,chi_tail_at_profile_q95,imag_max
6,0.7,0.02,0.47000000000000014,0.48999999999999994,0.5099999999999999,9,14,5,0.002828420987448192,0.002828420987448192,0.0,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.02507066008725557,0.020101247251452518,0.008348755695177793,0.008348755695177793,6,1.0332437674492083,4.991168262688108,11.053095614480746,11.070497693516351,0.049664436224293396,0.05033735759425917,0.0
6,0.7,0.04,0.4300000000000001,0.48999999999999994,0.5299999999999999,9,14,5,0.011582653472443643,0.011582653472443643,0.0,2.316229393072649e-16,1.1102230246251565e-16,2.2662332591841973e-17,0.05073384465892926,0.04067757099161236,0.017106298508119757,0.017106298508119757,6,1.0659705697117754,4.962814121522221,10.997301376053638,11.070497693516351,0.048598201635760396,0.051433515506513476,0.0
6,0.7,0.06,0.39,0.48999999999999994,0.5499999999999999,9,14,5,0.02676758816010427,0.026767588160104265,-3.469446951953614e-18,6.712102220919942e-16,9.064933036736789e-17,4.5324665183683945e-17,0.07712556595881559,0.06183802362405497,0.02667082361140676,0.026670823611406748,6,1.0979546502086228,4.911403784034739,10.896156742558041,11.070497693516351,0.04670293860688424,0.05347820925435624,0.0
6,0.7,0.08,0.3500000000000002,0.48999999999999994,0.57,9,14,5,0.049115692954900106,0.0491156929549001,-6.938893903907228e-18,4.3571612807878913e-16,0.0,5.551115123125783e-17,0.10447295551683337,0.08376471551307106,0.03741269619345976,0.03741269619345976,6,1.1287181850604642,4.832003845423297,10.73975012092751,11.070497693516351,0.04386733793211395,0.05679123636473165,0.0
6,0.7,0.1,0.31000000000000016,0.48999999999999994,0.59,9,14,5,0.07975287367893721,0.07975287367893721,0.0,5.283592957816961e-16,0.0,6.409875621278546e-17,0.13312723544617608,0.10673925083313823,0.0496768464043933,0.049676846404393314,6,1.1573091115934877,4.717552443689881,10.51365357140459,11.070497693516351,0.03997082819186709,0.06192254718531664,0.0
6,0.7,0.12,0.26999999999999996,0.48999999999999994,0.6099999999999999,9,14,5,0.12045065157572271,0.1204506515757227,-1.3877787807814457e-17,4.1267517697736926e-11,9.551424336141802e-12,3.507438030407914e-12,0.16360565840236613,0.13117635434554872,0.0638049980159928,0.06380499801599282,6,1.1818865075403018,4.557666066769125,10.196375277106771,11.070497693516351,0.03490057526073326,0.06985845560880914,0.0
