"model","lavaan_ms","magmaan_full_ms","magmaan_snlls_ms","speedup"
"Latent regression (Geiser 2013)",33.257705607,0.36119270324707,0.775193691253662,42.9024461656994
"Three-factor CFA (Geiser 2013)",32.566143715,0.728480100631714,0.448458433151245,72.6179759541212
"First-order linear latent growth curve (Geiser 2013)",15.947566967,0.300975561141968,0.2395179271698,66.5819346194257
"Latent state-trait model (Geiser 2013)",103.743095359,1.28359508514404,1.00422406196594,103.30672136645
"Latent state strict invariance (Geiser 2013)",34.584919821,0.633169174194336,0.432135343551636,80.0326109333092
