"source","optimizer","n_cells","converged","convergence_rate","error_rate","median_elapsed_sec","median_iterations","median_fmin_abs_diff_lavaan","top_error_kind"
"little","lbfgs",4,4,1,0,5e-04,16.5,4.43763949198317e-16,
"little","nlopt-lbfgs",4,4,1,0,0,0,4.46582874846779e-16,
