"p","n","df","n_over_df","distribution","method","n_null","n_power","nominal_power","matched_power","ci_lower","ci_upper"
20,100,170,0.588235294117647,"normal","gof_peba4_rls",100,100,0.16,0.09,0.0480725400025652,0.162262128527163
5,400,5,80,"normal","gof_peba4_rls",100,100,0.89,0.89,0.813687034969197,0.937458036429354
20,400,170,2.35294117647059,"normal","gof_peba4_rls",100,100,0.38,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_peba4_rls",100,100,0.15,0.08,0.0410934614843807,0.149981077009487
20,100,170,0.588235294117647,"pl","gof_peba4_rls",100,100,0.2,0.07,0.0343192610672727,0.137495147390735
5,400,5,80,"pl","gof_peba4_rls",100,100,0.31,0.42,0.327983826743548,0.51793513296957
20,400,170,2.35294117647059,"pl","gof_peba4_rls",100,100,0.14,0.14,0.0852634365993914,0.221371882109638
5,100,5,20,"normal","gof_sb_ml",100,100,0.29,0.34,0.254615207973482,0.437222711452754
20,100,170,0.588235294117647,"normal","gof_sb_ml",100,100,0.47,0.15,0.0930598528365664,0.232835595908323
5,400,5,80,"normal","gof_sb_ml",100,100,0.88,0.88,0.801879005732886,0.930005935629805
20,400,170,2.35294117647059,"normal","gof_sb_ml",100,100,0.47,0.25,0.175452113622877,0.343044635480616
5,100,5,20,"pl","gof_sb_ml",100,100,0.21,0.09,0.0480725400025652,0.162262128527163
20,100,170,0.588235294117647,"pl","gof_sb_ml",100,100,0.62,0.05,0.021543679154368,0.111750469231919
5,400,5,80,"pl","gof_sb_ml",100,100,0.35,0.39,0.300168740063944,0.487969829541593
20,400,170,2.35294117647059,"pl","gof_sb_ml",100,100,0.19,0.15,0.0930598528365664,0.232835595908323
5,100,5,20,"normal","gof_sb_rls",100,100,0.3,0.33,0.245631227341281,0.426946562049095
20,100,170,0.588235294117647,"normal","gof_sb_rls",100,100,0.21,0.09,0.0480725400025652,0.162262128527163
5,400,5,80,"normal","gof_sb_rls",100,100,0.89,0.89,0.813687034969197,0.937458036429354
20,400,170,2.35294117647059,"normal","gof_sb_rls",100,100,0.45,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_sb_rls",100,100,0.16,0.08,0.0410934614843807,0.149981077009487
20,100,170,0.588235294117647,"pl","gof_sb_rls",100,100,0.41,0.07,0.0343192610672727,0.137495147390735
5,400,5,80,"pl","gof_sb_rls",100,100,0.38,0.42,0.327983826743548,0.51793513296957
20,400,170,2.35294117647059,"pl","gof_sb_rls",100,100,0.2,0.14,0.0852634365993914,0.221371882109638
5,100,5,20,"normal","gof_ss_ml",100,100,0.28,0.34,0.254615207973482,0.437222711452754
20,100,170,0.588235294117647,"normal","gof_ss_ml",100,100,0.1,0.14,0.0852634365993914,0.221371882109638
5,400,5,80,"normal","gof_ss_ml",100,100,0.88,0.88,0.801879005732886,0.930005935629805
20,400,170,2.35294117647059,"normal","gof_ss_ml",100,100,0.32,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_ss_ml",100,100,0.11,0.07,0.0343192610672727,0.137495147390735
20,100,170,0.588235294117647,"pl","gof_ss_ml",100,100,0,0.02,0.00550196755016236,0.0700117907285438
5,400,5,80,"pl","gof_ss_ml",100,100,0.24,0.41,0.318673130211365,0.507985699465892
20,400,170,2.35294117647059,"pl","gof_ss_ml",100,100,0,0.12,0.069994064370195,0.198120994267114
5,100,5,20,"normal","gof_ss_rls",100,100,0.25,0.33,0.245631227341281,0.426946562049095
20,100,170,0.588235294117647,"normal","gof_ss_rls",100,100,0.02,0.09,0.0480725400025652,0.162262128527163
5,400,5,80,"normal","gof_ss_rls",100,100,0.89,0.89,0.813687034969197,0.937458036429354
20,400,170,2.35294117647059,"normal","gof_ss_rls",100,100,0.27,0.26,0.184046984647481,0.353709894491872
5,100,5,20,"pl","gof_ss_rls",100,100,0.06,0.11,0.0625419635706458,0.186312965030803
20,100,170,0.588235294117647,"pl","gof_ss_rls",100,100,0,0.06,0.0277861239631882,0.124768154458959
5,400,5,80,"pl","gof_ss_rls",100,100,0.25,0.41,0.318673130211365,0.507985699465892
20,400,170,2.35294117647059,"pl","gof_ss_rls",100,100,0,0.16,0.100952884888048,0.244202693892702
5,100,5,20,"normal","gof_std_ml",100,100,0.27,0.39,0.300168740063944,0.487969829541593
20,100,170,0.588235294117647,"normal","gof_std_ml",100,100,0.46,0.12,0.069994064370195,0.198120994267114
5,400,5,80,"normal","gof_std_ml",100,100,0.89,0.9,0.825634338495087,0.944770862939325
20,400,170,2.35294117647059,"normal","gof_std_ml",100,100,0.47,0.25,0.175452113622877,0.343044635480616
5,100,5,20,"pl","gof_std_ml",100,100,0.79,0.12,0.069994064370195,0.198120994267114
20,100,170,0.588235294117647,"pl","gof_std_ml",100,100,1,0.05,0.021543679154368,0.111750469231919
5,400,5,80,"pl","gof_std_ml",100,100,0.92,0.37,0.281823605343246,0.467794704190571
20,400,170,2.35294117647059,"pl","gof_std_ml",100,100,1,0.13,0.0775716742724052,0.209803514400764
5,100,5,20,"normal","gof_std_rls",100,100,0.28,0.39,0.300168740063944,0.487969829541593
20,100,170,0.588235294117647,"normal","gof_std_rls",100,100,0.22,0.12,0.069994064370195,0.198120994267114
5,400,5,80,"normal","gof_std_rls",100,100,0.89,0.9,0.825634338495087,0.944770862939325
20,400,170,2.35294117647059,"normal","gof_std_rls",100,100,0.42,0.27,0.192695841495764,0.36432116767945
5,100,5,20,"pl","gof_std_rls",100,100,0.79,0.14,0.0852634365993914,0.221371882109638
20,100,170,0.588235294117647,"pl","gof_std_rls",100,100,1,0.06,0.0277861239631882,0.124768154458959
5,400,5,80,"pl","gof_std_rls",100,100,0.91,0.39,0.300168740063944,0.487969829541593
20,400,170,2.35294117647059,"pl","gof_std_rls",100,100,1,0.07,0.0343192610672727,0.137495147390735
