"rep","fit_ok","flip_ok","fmg_ok","fit_error","flip_error","fmg_error","draw_seconds","fit_seconds","flip_seconds","fmg_seconds","total_seconds","flip_setup_seconds","flip_score_seconds","standardization_setup_seconds","flip_standardization_seconds","standardization_available","empirical_eigen_min","empirical_eigen_mean","empirical_eigen_cv","empirical_eigen_ratio","empirical_identity_distance","rls_statistic","flip_rls_abs_difference","p_flip_effective","p_flip_standardized","p_flip_standardized_chisq","p_gof_std_ml","p_gof_sb_ml","p_gof_mv_ml","p_gof_ss_ml","p_gof_peba4_ml","p_gof_all_ml","p_gof_std_rls","p_gof_sb_rls","p_gof_mv_rls","p_gof_ss_rls","p_gof_peba4_rls","p_gof_all_rls","p","n","distribution","truth","df","n_over_df","rho","cell_id"
1,TRUE,TRUE,TRUE,"","","",0,0.00299999999999997,0.00700000000000001,0.004,0.019,0.001,0.001,0,0,TRUE,0.600176756688362,0.872388617750168,0.321145260895125,2.21946335925794,0.281207967400328,6.05297479143955,1.58983937126322e-13,0.235,0.415,0.370139520038499,0.331114438022182,0.245055742048698,0.248008772530366,0.249939017647052,0.244913043306972,0.243952560842675,0.301098323276972,0.21797446268806,0.221695608056731,0.223329723621033,0.217998268075685,0.217809935748494,5,100,"normal","null",5,20,0,1
2,TRUE,TRUE,TRUE,"","","",0,0.001,0.002,0.004,0.011,0.001,0,0.001,0,TRUE,0.733389919806193,1.01185866306245,0.337976979175093,2.14124972324001,0.306110411644038,4.91509185270363,1.24344978758018e-14,0.42,0.275,0.306387733109451,0.42271799481873,0.423954304270291,0.419598404696258,0.423586953247505,0.422318322303412,0.415587102044473,0.42633022807697,0.427566261875638,0.423036195137161,0.427033146859683,0.425907862401284,0.419091014176296,5,100,"normal","null",5,20,0,1
3,TRUE,TRUE,TRUE,"","","",0,0.002,0.001,0.003,0.00700000000000001,0,0,0.001,0,TRUE,0.544199936670562,0.877735381578567,0.363109539441314,2.48300811053345,0.310179905746787,3.83890963654556,5.86197757002083e-14,0.5,0.305,0.262664786932506,0.562581352138128,0.480836497722419,0.472681971343594,0.477318133643434,0.478393300680743,0.469362592958306,0.57283442941683,0.491709509187139,0.482969509462547,0.487578797208553,0.48919859360129,0.479902848032692,5,100,"normal","null",5,20,0,1
4,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0.001,0,0,TRUE,0.665774244278727,1.20968829453966,0.45853596935194,2.958562190154,0.538618666670467,4.52193245488169,1.06581410364015e-14,0.59,0.455,0.478381020734701,0.435137032705038,0.544386560962838,0.527295124350617,0.533873631725332,0.539670175020653,0.524465835823593,0.476954324944282,0.583535916542115,0.563631833397987,0.569673999439483,0.578579578705274,0.562420840350582,5,100,"normal","null",5,20,0,1
5,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00800000000000001,0,0,0,0,TRUE,0.528115572756674,1.06015780962658,0.643262704674371,4.11953667522439,0.612922909931248,5.89182899584912,2.22044604925031e-14,0.36,0.585,0.556807902110403,0.332007770095698,0.360336319458001,0.355510356167519,0.367253135470554,0.356509660187372,0.342105576251547,0.316887157577359,0.344970208216243,0.342241258232052,0.35366990660275,0.34152233598489,0.328523926223105,5,100,"normal","null",5,20,0,1
6,TRUE,TRUE,TRUE,"","","",0,0,0.001,0.003,0.00600000000000001,0.001,0,0,0,TRUE,0.597964252830633,0.939895604552928,0.373222565556624,2.53549920180255,0.31946138627887,5.85477474843503,1.68753899743024e-14,0.28,0.29,0.272197443813809,0.328394550098859,0.284905193842443,0.287355977293252,0.290907870106229,0.284365789791604,0.281078087056136,0.320607469910842,0.277413719352632,0.280236988001268,0.283688195607912,0.276937001171421,0.273955500677144,5,100,"normal","null",5,20,0,1
7,TRUE,TRUE,TRUE,"","","",0,0,0.001,0.002,0.00600000000000001,0,0,0,0,TRUE,0.443615802213311,0.940252007416001,0.571433643605092,3.98129208381254,0.484268169082132,10.7654986778807,1.4495071809506e-12,0.05,0.01,0.0155510772654572,0.0400801957165131,0.0266868853530806,0.0388532060461993,0.0373429915776316,0.0294677693439375,0.0392852865207932,0.0562328791896023,0.0388641838954704,0.053125119756102,0.0518971803213088,0.0419223915191793,0.0525930094789322,5,100,"normal","null",5,20,0,1
8,TRUE,TRUE,TRUE,"","","",0,0.001,0.003,0.002,0.00700000000000001,0,0.001,0,0,TRUE,0.623120907780452,1.06387436960312,0.386238940008772,2.64747029427827,0.373038022368923,1.07937374118379,1.48103751484996e-13,0.965,0.965,0.968224391235315,0.956197695187351,0.961466025967548,0.950029527828139,0.941765355368241,0.960535097713457,0.957073946028018,0.955913080017985,0.961213188690075,0.949735099730645,0.941478350626649,0.960277102217649,0.956797132757175,5,100,"normal","null",5,20,0,1
9,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.00199999999999995,0.00599999999999995,0,0.001,0,0,TRUE,0.532099313914596,1.03754665330114,0.419605769220257,2.8959962070374,0.391204302154023,7.40941719607497,2.44249065417534e-13,0.19,0.26,0.276000737991919,0.216654208384941,0.228394560424576,0.234385463438304,0.237663802989132,0.228294436773229,0.228574769800286,0.191928046186349,0.203064315683933,0.210261559073028,0.2130254411159,0.203387697219121,0.204852315173478,5,100,"normal","null",5,20,0,1
10,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.577937392470814,0.966143745620248,0.358525830091465,2.51014148594133,0.311662765900923,2.05529364418378,2.26485497023532e-14,0.82,0.755,0.73498466333096,0.848320917755043,0.837246594452719,0.819295290226744,0.816855833136377,0.834815979626495,0.826204358946553,0.841442432027317,0.829966862503393,0.811910962706562,0.809745568960471,0.827476488005965,0.818666160249376,5,100,"normal","null",5,20,0,1
11,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.005,0.00800000000000001,0,0,0,0,TRUE,0.638758221170802,0.921345867796526,0.307172678709196,2.12553249063396,0.265072126439662,2.2837326942392,2.48245868306185e-13,0.815,0.84,0.802078439492734,0.813786703347667,0.783599278874462,0.770541911510597,0.770044316730142,0.781932636372396,0.774959790757916,0.808653112873168,0.777843688451777,0.764808797012376,0.76444425547403,0.776158548778515,0.769110300020279,5,100,"normal","null",5,20,0,1
12,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0,0,TRUE,0.524400840744202,1.08590980894802,0.423223090738621,3.08713223424403,0.419944120935572,10.6725004396551,6.51390053008072e-12,0.09,0.02,0.0457950521539249,0.0540522886024788,0.0695186307735859,0.0795578171943858,0.0793068394508917,0.0716485352503277,0.0784062699124495,0.058274203361567,0.0745236879662901,0.0847098744868899,0.0845706041640665,0.0766307352502978,0.0833522434576777,5,100,"normal","null",5,20,0,1
13,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0.001,0,TRUE,0.506239371051695,1.07638774746248,0.452087166433177,3.40936932541455,0.441899483599498,5.72159556847555,1.83408843668076e-12,0.405,0.21,0.207568280184321,0.28124075711173,0.317735842865624,0.318665802267523,0.324500248237532,0.316237888724642,0.311547414302162,0.334258159144442,0.372110140760179,0.368773423715395,0.375308749300018,0.369817294213565,0.361939270901588,5,100,"normal","null",5,20,0,1
14,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0,0,0,TRUE,0.693352065843582,0.999340842736799,0.299146987873212,2.0721338451295,0.267389644978592,1.52012969478135,1.45616851909836e-12,0.88,0.85,0.87591384659614,0.904077285880943,0.903375825194034,0.892538889515981,0.888852037432444,0.902205986451047,0.898101230477719,0.910735228185151,0.910076454013939,0.899539635147682,0.895661004489822,0.908966132848261,0.905067492343233,5,100,"normal","null",5,20,0,1
15,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0.001,0,TRUE,0.709608322167919,1.15267258442332,0.433679376524064,2.70771147167273,0.472462897862009,5.11814973228461,2.30926389122033e-14,0.51,0.48,0.445299845499266,0.390022356322926,0.471074626775096,0.460861302662457,0.467137534833667,0.467735639650211,0.456094970970415,0.401631996305957,0.482559687903084,0.47152021021885,0.477773436042926,0.479118537782132,0.46712134345769,5,100,"normal","null",5,20,0,1
16,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.00600000000000001,0,0,0,0,TRUE,0.472069623390777,0.942303222775791,0.450009717845526,3.27709037495929,0.383641316636383,4.86618008315841,3.46389583683049e-14,0.4,0.34,0.323044017463271,0.448251217152199,0.405691279338043,0.399780376127117,0.40644237492352,0.402801258974941,0.393185310664512,0.432429261145036,0.389855592400893,0.385198826228901,0.391748971313993,0.387177864096287,0.378330570495912,5,100,"normal","null",5,20,0,1
17,TRUE,TRUE,TRUE,"","","",0,0.001,0.002,0.002,0.00600000000000001,0,0,0,0,TRUE,0.481804484292319,1.01176522295257,0.349810558594044,2.95328577340934,0.316779735171273,4.48806648104064,1.22746257602557e-12,0.58,0.605,0.524908276701534,0.458466395166421,0.460155427235618,0.454010729487976,0.458074196835311,0.457891926889526,0.450926639547415,0.481481688138701,0.483156890548992,0.475913728070463,0.479952287901222,0.480729313061762,0.473142598687494,5,100,"normal","null",5,20,0,1
18,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.65884286258907,1.0914385122573,0.352978055797776,2.41076037348303,0.356507252417381,6.17714997027847,7.43298755878641e-11,0.375,0.23,0.242987999230021,0.260544755163952,0.303912392267371,0.305279055233813,0.30870885726218,0.303009609490802,0.300303483652403,0.289361165950845,0.33396230342509,0.333877620022579,0.337606752514725,0.33274973451544,0.328959252997577,5,100,"normal","null",5,20,0,1
19,TRUE,TRUE,TRUE,"","","",0,0.001,0.000999999999999945,0.003,0.00599999999999995,0,0.000999999999999945,0,0,TRUE,0.528951403438205,0.950521625779548,0.3808091160259,2.65013491156847,0.327512397590229,9.00477772659785,1.4210854715202e-13,0.1,0.16,0.160948984122106,0.127350099557139,0.101586961794259,0.109564069257891,0.109887984907799,0.103028226156779,0.10744957514078,0.108873742188858,0.0855750660507527,0.0934506702455762,0.0934862678107706,0.0871375776841711,0.0918695340052264,5,100,"normal","null",5,20,0,1
20,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0.001,0,TRUE,0.494783165793063,0.969217134194508,0.606048220249402,4.01672676726157,0.526280699023153,3.27702449426923,1.19904086659517e-14,0.6,0.635,0.633423008242899,0.653895304020182,0.634365787437988,0.597061305440553,0.605781592725852,0.629017262219847,0.600750270766932,0.657361015852915,0.637941907521062,0.600292270200967,0.608884006156072,0.632586541194998,0.60428615334141,5,100,"normal","null",5,20,0,1
21,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.00700000000000001,0,0,0.001,0,TRUE,0.520257463724287,0.932222220126456,0.440049504130435,3.02053633716221,0.373122986188085,7.39578940085294,7.13029635335261e-12,0.175,0.4,0.393799733365305,0.237461529589503,0.193143613175275,0.200896371104193,0.203499427324955,0.193538649334426,0.194854726759921,0.192829277862593,0.152883232821483,0.162086817735769,0.163772413044087,0.15381429870681,0.157038656913044,5,100,"normal","null",5,20,0,1
22,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.540858006901843,0.926864264112382,0.438636341491938,2.93573088577853,0.370916821348716,3.03697945344942,8.30446822419617e-14,0.65,0.61,0.573411976734141,0.665403631669319,0.623086247491101,0.60243427799541,0.607226447085654,0.619508192867686,0.603868905264724,0.694284546792324,0.654112472383701,0.631780306025491,0.635860941792855,0.650500027725253,0.634691362758563,5,100,"normal","null",5,20,0,1
23,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0,0,0,TRUE,0.606208574379845,1.00864293659344,0.384894631097938,2.64951078470426,0.347343190704737,8.76814463206498,1.77635683940025e-14,0.13,0.265,0.272635452432214,0.122015403592721,0.118614582946409,0.126314567553624,0.126933012012314,0.119643820407271,0.123316379589262,0.11867719199726,0.115332095471085,0.123055466929314,0.123613981390569,0.116388020295621,0.120157948479857,5,100,"normal","null",5,20,0,1
24,TRUE,TRUE,TRUE,"","","",0,0,0.001,0.002,0.00700000000000001,0,0,0,0,TRUE,0.660419513459209,1.03538178682715,0.429404710194948,2.61927975658568,0.399231318051947,9.45723996216939,2.831512802004e-12,0.115,0.195,0.160829362650309,0.0906661476144938,0.0959879487020234,0.106087850953194,0.106431405386026,0.097601982867994,0.10281962187923,0.0921584728337691,0.0975349003527772,0.107641182671028,0.108021136660387,0.0991347225067142,0.104300774158236,5,100,"normal","null",5,20,0,1
25,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.513402423800611,0.907056311636101,0.297607283603547,2.40444964439238,0.258718858150933,5.7433544387957,9.76996261670138e-15,0.28,0.29,0.292858523426941,0.307399350768096,0.245049752522728,0.247806716198964,0.249597579007346,0.24492078676237,0.244895104835602,0.331997956523607,0.268073333961051,0.270165277965898,0.272171359333862,0.267758325703923,0.267140309306959,5,100,"normal","null",5,20,0,1
26,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.537245908154074,1.15400776284026,0.641743598850176,4.31599041099122,0.680060245654734,3.79402204131255,2.75335310107039e-14,0.695,0.755,0.714479411863614,0.597030368697602,0.668264954439884,0.623719686887107,0.632078468677559,0.659614134114602,0.628154005810262,0.579436328096298,0.65239476467011,0.60940109716512,0.618475197738558,0.643750543810433,0.612488395275327,5,100,"normal","null",5,20,0,1
27,TRUE,TRUE,TRUE,"","","",0,0.001,0.003,0.002,0.00700000000000001,0.001,0.002,0,0,TRUE,0.635841517774797,0.950292703763907,0.373569530377716,2.31024574031711,0.321389237481554,6.69202635781141,4.82280881897168e-12,0.225,0.245,0.260876653333079,0.2551443155731,0.220200165393649,0.225492254915136,0.227994813686498,0.220182774875801,0.219934049229558,0.244570518741046,0.210244391776748,0.215922767776762,0.218258817763911,0.21034609104923,0.210490942700928,5,100,"normal","null",5,20,0,1
28,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.663409377279729,1.03765397529335,0.44411298916011,2.67623057969705,0.413900215557323,7.09087141899761,8.08242361927114e-14,0.205,0.085,0.113037181028941,0.180069780968649,0.191234579309011,0.200338875977746,0.203409397286748,0.191687797889469,0.192851621693994,0.213969341122104,0.226031380029499,0.233225608724914,0.237151418506999,0.225917092192791,0.225074136404368,5,100,"normal","null",5,20,0,1
29,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.00599999999999995,0.001,0,0,0,TRUE,0.587303695615856,0.982845562051155,0.396616163020936,2.70728893869831,0.349080596337415,2.74479441933556,3.28626015289046e-14,0.725,0.72,0.719082996996516,0.730697191509172,0.720717531898432,0.699996140396891,0.701577697508363,0.717405852818008,0.704970201240379,0.739259265969837,0.729497594345671,0.708548808044277,0.709864961984469,0.726211627793692,0.713864331981581,5,100,"normal","null",5,20,0,1
30,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.004,0.00700000000000001,0,0,0,0,TRUE,0.728180175684519,1.12001229621724,0.391547389791096,2.48637269715309,0.410189391379353,6.51218454027564,7.99360577730113e-15,0.305,0.125,0.180315907308178,0.193257352853844,0.245940367240311,0.25078733075305,0.254209471485964,0.245588969090818,0.244053072064995,0.259519018364426,0.317790943632807,0.318605246445844,0.323109960899671,0.316545886384505,0.311812264450709,5,100,"normal","null",5,20,0,1
31,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.569665060965489,0.94671027965411,0.357503933293628,2.4178616426766,0.307375910906645,6.99173630016149,7.34523553092004e-13,0.175,0.15,0.161011809715792,0.19730851158704,0.164268247724794,0.171066254991551,0.172489423929873,0.16496990524427,0.167222825037991,0.221255615657869,0.186285816703849,0.19247189520992,0.194276371495098,0.186718988769732,0.188202086427121,5,100,"normal","null",5,20,0,1
32,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.00600000000000001,0.001,0,0,0,TRUE,0.500661989439566,0.832195390686363,0.271387567430508,2.22379995351099,0.262610082179535,4.40589106045895,8.46434033974219e-13,0.435,0.435,0.383654522454579,0.47082678652766,0.352718317277459,0.352176515756979,0.354382613420958,0.351902231294242,0.349512568855324,0.492572749946612,0.374565710989575,0.373383802731104,0.375679197162673,0.373621182117496,0.370800774196396,5,100,"normal","null",5,20,0,1
33,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.004,0.00700000000000001,0,0,0,0,TRUE,0.651438296694365,1.02994447589936,0.29719215504358,2.07288010226562,0.27540921690386,2.18180825342975,3.37507799486048e-13,0.88,0.825,0.736374444279595,0.820973176809466,0.82885394692994,0.816236898447838,0.814637420382466,0.827201456796651,0.820558407073068,0.823459268342383,0.831252538524438,0.818658612857465,0.816996336459381,0.829612673732717,0.823016451898909,5,100,"normal","null",5,20,0,1
34,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0.001,0,0,TRUE,0.404427153592688,0.967721557495479,0.39528929587026,3.31403538863793,0.343664432379132,10.2860516876015,1.13686837721616e-13,0.07,0.05,0.058949386767732,0.0637380249748186,0.050979427903501,0.0590713566044092,0.0585025525775245,0.0529189198893764,0.0589079226334695,0.0675241430245999,0.0542273345914432,0.0624900279128022,0.0619722564086328,0.0561769120100363,0.0622228976200735,5,100,"normal","null",5,20,0,1
35,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0.001,0,0,TRUE,0.622380544389411,0.904053862556447,0.276553279170954,1.95569496537433,0.243337801575982,7.52019748011005,1.50990331349021e-14,0.11,0.06,0.10186730290752,0.136018334425964,0.092843486235797,0.0976386080053312,0.0976971519156145,0.0936695215589589,0.0964881204842139,0.184736359555691,0.13268617353688,0.137393043957358,0.13789034592614,0.133304182153136,0.135464824677334,5,100,"normal","null",5,20,0,1
36,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.004,0.00700000000000001,0,0,0,0,TRUE,0.551806051849967,1.01623859999251,0.431524934820492,3.00924072112184,0.392571205737003,2.46451762746971,1.4033219031262e-13,0.8,0.835,0.792846850746777,0.769449611437238,0.773752076990795,0.748376279340263,0.748298075782152,0.769832889060775,0.75579776554044,0.781829047688631,0.785958130067157,0.760456912101501,0.759847254200368,0.78212742317972,0.768372978771954,5,100,"normal","null",5,20,0,1
37,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.542095763755936,0.921916683599552,0.401667425979514,2.68972529251558,0.340289564541916,0.503421376048564,4.21884749357559e-15,0.995,0.995,0.984868180993885,0.991949989175196,0.990258065279693,0.984988489636879,0.976313820067046,0.989957144346026,0.988861752174015,0.991997480495593,0.99031516987881,0.985066648379427,0.976398702888862,0.990015883162997,0.988926388043607,5,100,"normal","null",5,20,0,1
38,TRUE,TRUE,TRUE,"","","",0,0.000999999999999945,0.001,0.002,0.00499999999999995,0,0,0.001,0,TRUE,0.617047376250611,1.19008463373411,0.401158378247388,2.84751609020515,0.467408027589691,3.02011963284572,3.86357612569554e-14,0.75,0.6,0.646113333507888,0.673090915760108,0.749002369787004,0.727133154928879,0.727853487931486,0.74504979570729,0.731826650109193,0.696883819014912,0.768843804593197,0.746655158163178,0.746670338321047,0.765001318950999,0.752055260929,5,100,"normal","null",5,20,0,1
39,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0,0.001,0,TRUE,0.609844438043512,0.952484415192864,0.359558887738775,2.41223325292538,0.309981633585149,5.98904671028328,3.90798504668055e-13,0.265,0.33,0.304511680455256,0.270220528706661,0.236517416950893,0.240827447970166,0.243383292890512,0.23634957107169,0.235610509847147,0.307286180810916,0.272048379509771,0.274867322274282,0.277909336163293,0.271515232675991,0.269463802738884,5,100,"normal","null",5,20,0,1
40,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.517984526223147,0.994937328155479,0.38944046715553,2.87724138828389,0.346599658539683,2.42415483606025,2.8421709430404e-14,0.755,0.835,0.840957125345954,0.798752426320363,0.795264741150368,0.774567197750042,0.773580650404461,0.791950074750473,0.78063406700587,0.787871643334409,0.784242126967375,0.763588022651105,0.763009684605138,0.780851232028083,0.769314907158327,5,100,"normal","null",5,20,0,1
41,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0.001,0,0,TRUE,0.45914931526688,1.02731276037382,0.45311942594766,3.65568844149891,0.417246614328353,4.62418136825105,9.9475983006414e-14,0.49,0.38,0.340773382225148,0.425995008398168,0.436910485911387,0.428401236201182,0.435302304381373,0.433510909347335,0.422630040912958,0.463442227879413,0.474266385875092,0.462779821549902,0.469697995765144,0.470425585856228,0.457907936209625,5,100,"normal","null",5,20,0,1
42,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.004,0.00700000000000001,0,0,0,0,TRUE,0.588522968094799,1.02307601619714,0.384516353239953,2.77734750044301,0.352614117105039,4.57276168433424,1.51523238400841e-12,0.515,0.64,0.587560072388482,0.470897542463267,0.479242883398291,0.471069002525509,0.475770421204776,0.476892589489172,0.467726301054263,0.47020759102238,0.478555130082584,0.470418968147259,0.475121651012734,0.476209166672292,0.467060036971673,5,100,"normal","null",5,20,0,1
43,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0.001,0,0,0,TRUE,0.504725297718472,0.846189491774015,0.401888865537351,2.76393154538027,0.340848949259823,0.754751796110203,6.88338275267597e-14,0.985,0.945,0.942015525002295,0.978337290250603,0.968567623503443,0.95740568554786,0.948196253285038,0.967827068422533,0.964802955404381,0.979829204200678,0.970687861363582,0.959970580588531,0.950717225151272,0.969990728272344,0.967142332486607,5,100,"normal","null",5,20,0,1
44,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.005,0,0.001,0,0,TRUE,0.561780323541482,1.0185821399368,0.351826047221311,2.60412406920528,0.321068443167934,9.06707694448848,6.3948846218409e-14,0.135,0.125,0.104386452490863,0.0936706954425961,0.0938170647130058,0.101168747299901,0.101325082200814,0.0950698616455567,0.0996003082299403,0.106418409452119,0.106576873693247,0.113955095856268,0.114326605427101,0.107744274402789,0.112022319686101,5,100,"normal","null",5,20,0,1
45,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.004,0.00800000000000001,0,0,0,0,TRUE,0.450059402441458,0.874459082863306,0.566675059267818,3.68766820396447,0.460655835735244,9.12337444227284,3.19744231092045e-14,0.07,0.15,0.136745618252945,0.12535842952773,0.0734447843507149,0.0895860855605815,0.089582042334375,0.0764307164208163,0.0860252162820612,0.104243203623442,0.0586547030497315,0.074017892950895,0.0734628496918527,0.0617191073703331,0.0716586978360894,5,100,"normal","null",5,20,0,1
46,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0,0,0,0,TRUE,0.634029861191887,1.06268624363156,0.367639644852137,2.59221777971128,0.355017959160644,5.08454921322562,8.07354183507414e-13,0.4,0.305,0.330210601150409,0.346024019650498,0.37692730379777,0.374544171681775,0.378845876455349,0.37523614479206,0.369533852277278,0.405649147132099,0.436870889798783,0.431236984663828,0.435785181109201,0.434652590362199,0.427104923029731,5,100,"normal","null",5,20,0,1
47,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.00600000000000001,0,0,0.001,0,TRUE,0.558772331389051,0.90266377602678,0.534611141734936,3.08921192206878,0.442466449893838,8.6826343485062,1.50635059981141e-12,0.085,0.31,0.297422435670479,0.110934014186567,0.0720819071093066,0.0858667106268395,0.0857322928309083,0.0741810219114837,0.08227575511512,0.122412288032686,0.0808746838458662,0.0949186206652194,0.0950710298785612,0.0829137763494461,0.0906596513303522,5,100,"normal","null",5,20,0,1
48,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.004,0.00700000000000001,0,0.001,0,0,TRUE,0.598516599973209,0.983525099622922,0.343451123461883,2.28245203573171,0.302579912013451,6.66643127481972,2.67341704329738e-11,0.225,0.385,0.390985510373871,0.26727683751871,0.250510350594266,0.253763002180989,0.256117347366205,0.250242451816211,0.249749658378322,0.246653374652985,0.230393234826535,0.234341205294271,0.23644509274632,0.230316399240565,0.230489421789428,5,100,"normal","null",5,20,0,1
49,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.003,0.00600000000000001,0.001,0,0,0,TRUE,0.494875219846104,0.928787970417029,0.326800998989259,2.56250284865991,0.280668767173223,0.748516806850551,6.23945339839338e-14,0.975,0.975,0.970428355570691,0.979124425247608,0.975310060004489,0.969045386982487,0.96296688360395,0.97480301091897,0.972831290755388,0.980200242549682,0.976571308274536,0.970509016399724,0.964441397255543,0.976087075184357,0.974202110279541,5,100,"normal","null",5,20,0,1
50,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.00600000000000001,0,0,0,0.001,TRUE,0.760203410799241,0.956358310185222,0.209412580639075,1.64855232638982,0.18436964141484,2.29169042935704,2.99582580964852e-12,0.83,0.79,0.749560255677535,0.804888970573871,0.787538111056628,0.781055163987462,0.780697711819905,0.786618672943664,0.783341640030195,0.807486546008895,0.790310925293945,0.783826292421503,0.783435689185322,0.789396882972169,0.786139060857467,5,100,"normal","null",5,20,0,1
51,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.0379999999999999,0.0409999999999999,0,0,0.001,0,TRUE,0.637050227380347,1.0301266292794,0.355382799139919,2.46304749930789,0.328823213071365,4.94722238906866,1.45128353779e-12,0.415,0.385,0.398257171650376,0.413647118351653,0.425868595744474,0.421113049054229,0.425383410465685,0.423909615405849,0.416954099493384,0.422355179431019,0.434570826398056,0.429368159576401,0.433657194073989,0.432547420449382,0.425360326061427,5,100,"normal","null",5,20,0,1
52,TRUE,TRUE,TRUE,"","","",0,0,0.002,0.002,0.00600000000000001,0.001,0,0,0,TRUE,0.503866605715219,0.875820939125923,0.363213746092596,2.55052551257223,0.310444392404964,3.07966916279895,2.17603712826531e-13,0.655,0.64,0.578281304809821,0.693343465496142,0.623514917654626,0.60903343410092,0.612269397373295,0.620232083954121,0.609500725064384,0.687704555137788,0.617158843854181,0.602933516275605,0.606263554963541,0.613887692205957,0.603210227693906,5,100,"normal","null",5,20,0,1
53,TRUE,TRUE,TRUE,"","","",0,0,0.001,0.002,0.005,0.001,0,0,0,TRUE,0.473356220578775,0.947562949640602,0.414807324540648,3.05293604772299,0.355449141573404,2.45973072786698,7.72715225139109e-14,0.775,0.76,0.738716946822504,0.802328761152234,0.781256235738422,0.757809341152803,0.757370713735389,0.777390884462371,0.763922614887249,0.782547113897012,0.759937054710613,0.736761990679141,0.737153423737915,0.75593376748171,0.742093529954347,5,100,"normal","null",5,20,0,1
54,TRUE,TRUE,TRUE,"","","",0,0.001,0.001,0.002,0.00600000000000001,0.001,0,0,0,TRUE,0.508987870039399,0.930438615347455,0.331259902111539,2.65356317837929,0.284318419724389,5.26279321840176,2.1316282072803e-14,0.295,0.235,0.260378012789826,0.350393874136961,0.300972197897703,0.302352034978432,0.305411438679426,0.300302261708173,0.297963307199239,0.384657491295648,0.334323497158685,0.334247648729529,0.337610963531978,0.333365380793494,0.329914475852376,5,100,"normal","null",5,20,0,1
55,TRUE,TRUE,TRUE,"","","",0,0.001,0.002,0.002,0.00700000000000001,0.002,0,0,0,TRUE,0.534499770304937,0.840848604795393,0.30579802063791,2.10590819344102,0.279681550839463,2.09108974515811,6.21724893790088e-15,0.745,0.795,0.834505187059699,0.839741900509666,0.780855684461546,0.768031236141244,0.767600573171033,0.778851829334955,0.771701107781922,0.836402914777567,0.776598806210733,0.763792564263711,0.763458021394661,0.774579099187082,0.767378294801062,5,100,"normal","null",5,20,0,1
