"rep","fit_ok","flip_ok","fmg_ok","fit_error","flip_error","fmg_error","draw_seconds","fit_seconds","flip_seconds","fmg_seconds","total_seconds","flip_setup_seconds","flip_score_seconds","standardization_setup_seconds","flip_standardization_seconds","standardization_available","empirical_eigen_min","empirical_eigen_mean","empirical_eigen_cv","empirical_eigen_ratio","empirical_identity_distance","rls_statistic","flip_rls_abs_difference","p_flip_effective","p_flip_standardized","p_flip_standardized_chisq","p_gof_std_ml","p_gof_sb_ml","p_gof_mv_ml","p_gof_ss_ml","p_gof_peba4_ml","p_gof_all_ml","p_gof_std_rls","p_gof_sb_rls","p_gof_mv_rls","p_gof_ss_rls","p_gof_peba4_rls","p_gof_all_rls","p","n","distribution","truth","df","n_over_df","rho","cell_id"
48,TRUE,TRUE,TRUE,"","","",0,0,0.00200000000000022,0.00099999999999989,0.004,0.00099999999999989,0.00100000000000033,0,0,TRUE,0.715654672726704,0.998060678156127,0.257891099599005,1.94079607797702,0.230225646641608,17.2301061892877,7.24753590475302e-13,0.015,0.035,0.0148379742019031,0.00529187076747766,0.0049120664281826,0.00571283564220207,0.00552947966161345,0.00516775673770455,0.00613011867050744,0.00408344950800463,0.00377817479357518,0.00444126691541009,0.00428292417760839,0.0039966081346659,0.00482676688651217,5,400,"normal","power",5,80,0.25,11
49,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00100000000000033,0.00199999999999978,0.00499999999999989,0,0.00100000000000033,0,0,TRUE,0.675880522153279,0.951442741816693,0.222074581805454,1.76622561212279,0.195123040273892,14.2740532562848,6.57252030578093e-14,0.005,0.02,0.0298878784871802,0.0176953410895847,0.0127340410019625,0.0138646736031818,0.013654830072579,0.0130720699054542,0.0141929634767431,0.013959183347278,0.00987832908331324,0.0108370354581671,0.0106470193559186,0.0101762236653392,0.0111633177203236,5,400,"normal","power",5,80,0.25,11
50,TRUE,TRUE,TRUE,"","","",0,0.00100000000000033,0.00199999999999978,0.00300000000000011,0.0100000000000002,0,0.00199999999999978,0,0,TRUE,0.727908617313142,0.967892053465047,0.265739826876646,1.84716880387459,0.232283156903759,19.9007786336459,2.20268248085631e-13,0.005,0.015,0.00805575342672779,0.0022343698516839,0.00157248221881207,0.00192707202963596,0.00183219289954482,0.00168604796423736,0.00219379998886066,0.00130445490636249,0.000893480135434179,0.00112186120793982,0.00105715601722023,0.000970601622463783,0.00132205398579068,5,400,"normal","power",5,80,0.25,11
51,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00200000000000022,0.00300000000000011,0.00700000000000012,0.00100000000000033,0.00099999999999989,0,0,TRUE,0.761556718909472,1.05536575623186,0.312482550944662,2.01565213991165,0.300118361797389,22.2584556514718,4.33431068813661e-13,0.005,0.005,0.00120407731213897,0.000727460337735183,0.00107554909672585,0.00149489463807054,0.00137528506367001,0.00123429707771227,0.00186367583059652,0.000467552196213888,0.000706065151103008,0.00100842798956716,0.000918489950717805,0.00082465759125234,0.00130694833191705,5,400,"normal","power",5,80,0.25,11
52,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00300000000000011,0.00200000000000022,0.00700000000000012,0,0.00099999999999989,0,0.00099999999999989,TRUE,0.745442556574504,1.01342523630926,0.285692675391665,1.99669080001346,0.259309630734726,19.3165506854341,2.16360263038951e-12,0.005,0.015,0.0135860473322364,0.00227892744614554,0.00234794915412454,0.00291305399714241,0.00276796643421503,0.00251573791103269,0.00333196097816405,0.00167784155584874,0.00173094210545847,0.002180023318851,0.00206034635635586,0.00186840071036681,0.00254965140373466,5,400,"normal","power",5,80,0.25,11
53,TRUE,TRUE,TRUE,"","","",0,0.00200000000000022,0.004,0.00300000000000011,0.0110000000000001,0,0.00199999999999978,0.00200000000000022,0,TRUE,0.693383083152505,0.924559224154701,0.221752093168719,1.68866453464838,0.198289778999554,17.5139738939168,2.8421709430404e-13,0.005,0.005,0.00259070148643787,0.00325602501108392,0.00161999996938283,0.0018953223234666,0.00182261644906118,0.0017171316796059,0.00208823432141298,0.0036214593863839,0.00182239193271715,0.00212380848054951,0.00204523453267682,0.00192747070923874,0.00232831531686239,5,400,"normal","power",5,80,0.25,11
54,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00100000000000033,0.00099999999999989,0.004,0,0.00100000000000033,0,0,TRUE,0.71813721737035,0.985054310503542,0.298014338866909,2.00076572706368,0.262993341539689,25.5535840523121,4.68958205601666e-13,0.005,0.005,0.00195955549015934,0.00016451268412687,0.000120403415724251,0.000176897503441429,0.000158014900208432,0.000144704550674041,0.000260217681145774,0.000108901622951866,7.86646227431188e-05,0.000118264487247265,0.000104687238422634,9.61765006525903e-05,0.000181833173377959,5,400,"normal","power",5,80,0.25,11
55,TRUE,TRUE,TRUE,"","","",0,0,0.00200000000000022,0.00199999999999978,0.00499999999999989,0.00100000000000033,0.00099999999999989,0,0,TRUE,0.80443234779859,0.988120988320873,0.202726952415649,1.6046425575964,0.179563900349575,9.05841828321632,2.8421709430404e-14,0.13,0.115,0.0973158107912777,0.118138794267854,0.112005432297646,0.114502851618832,0.11462336531663,0.112354219614086,0.113550573366239,0.106756613559027,0.100992940972476,0.103489191832507,0.103548519225336,0.101368919735924,0.102666203201487,5,400,"normal","power",5,80,0.25,11
56,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00099999999999989,0.00300000000000011,0.00600000000000023,0,0.00099999999999989,0,0,TRUE,0.623714645078576,0.933174762007117,0.291754832644583,2.06094730572999,0.252517830400642,20.5530860607687,1.03632658010611e-11,0.005,0.005,0.000812973275944067,0.00114130510839099,0.000547430181294745,0.000757169959467684,0.000694030902033709,0.000638431510977329,0.000950799710530443,0.000983620694406382,0.000465160427644003,0.000649346447013974,0.000593132545866381,0.000546093777798381,0.000825733765979952,5,400,"normal","power",5,80,0.25,11
57,TRUE,TRUE,TRUE,"","","",0,0.00099999999999989,0.00100000000000033,0.00099999999999989,0.004,0,0.00100000000000033,0,0,TRUE,0.765386075021558,1.01585893057194,0.222472684199031,1.7220440044316,0.202762466346825,11.4038144456633,9.25481913327530e-13,0.05,0.1,0.110471181932537,0.055183245721779,0.0575349603346836,0.0600191765490552,0.0598517436379543,0.0580905731073602,0.0597988035239036,0.0439359990103717,0.0459389967183039,0.048221074488827,0.0480094284765975,0.0464878326184385,0.0481763276937629,5,400,"normal","power",5,80,0.25,11
