"key","value"
"mode","probe"
"cells","16"
"reps","100"
"flips","199"
"cores","4"
"seed_base","20260713"
"elapsed_seconds","36.429"
"magmaan_version","0.0.1"
"R_version","R version 4.5.2 (2025-10-31)"
"dgp_source","Foldnes-Moss-Gronneberg marginal targets"
"alternative","one omitted residual covariance rho=.25"
